timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-27T20:04:49.541317,677.87,34.66,14.891,0.47,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/317089e8-4d0c-41c9-90ee-fbe1734667ae
2026-05-27T20:19:42.782291,188.76,42.05,21.712,1.097,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/749ec157-0ce3-43e8-add2-0428babedb51
2026-05-27T20:34:39.221890,188.93,41.48,24.497,0.693,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/b760c4e3-324f-45ff-b950-6a2c47361a5e
2026-05-27T20:49:40.109838,741.52,39.36,28.976,0.61,,70501,Siteserver,"Moorpark, CA",United States,https://www.speedtest.net/result/c/b79f0799-50a2-45bf-9b01-8021787aa863
2026-05-27T21:04:38.675797,881.88,37.25,14.199,0.879,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/a94f3eaf-462c-4362-a678-5dc9011ea5af
2026-05-27T21:19:42.178987,890.49,41.11,14.813,0.597,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/da247491-8a3f-41e2-b6cd-4410e87eefa3
2026-05-27T21:34:40.582593,889.54,41.08,13.855,2.885,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/3ef5bad2-7bd4-4be9-992b-46bfb6db8fd1
2026-05-27T21:49:39.340949,787.79,40.87,20.701,2.003,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/bab05408-fabb-4138-a26f-05d6bf62e3a3
2026-05-27T22:04:42.202394,919.46,40.71,20.333,1.432,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/1d4670b3-e7f2-43d2-a6d3-997237b758aa
2026-05-27T22:19:44.434626,924.03,40.94,13.894,0.828,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/854e4623-0fc8-4236-92b8-fd8680dc683e
2026-05-27T22:34:43.879798,924.54,21.9,21.351,1.67,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/8ff8e9e2-30f3-4741-ae6a-ac1a36056696
2026-05-27T22:49:59.245584,286.91,38.18,17.827,1.024,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/89e470e5-29f4-490e-baa7-189e199aed94
2026-05-27T23:04:50.967705,927.69,41.16,20.001,0.987,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/9981f00f-cde7-496c-92e2-5e3c8c20ad6d
2026-05-27T23:19:45.395623,926.42,41.07,20.286,0.807,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/e9da4976-c7c0-4e77-a8a7-863b7924a5ac
2026-05-27T23:34:46.601612,924.78,41.26,14.257,0.772,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/f8866194-054b-4c78-b0d8-f5dd0c45b5c4
2026-05-27T23:49:45.689529,930.41,41.18,19.435,0.686,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/f2d5b4f4-ddb2-462c-85e2-7477435bd370
2026-05-28T00:04:48.615412,928.48,41.1,14.644,0.758,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/007c8a4a-643a-4959-91e1-2115efc54beb
2026-05-28T00:19:46.599992,929.34,41.11,15.066,0.832,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/4d4ccd1f-1754-4873-a9f1-8e4a72f661a3
2026-05-28T00:34:48.846896,930.08,41.11,20.336,2.381,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/d2f0ef60-8ef4-4060-b29f-94bed3dfd671
2026-05-28T00:49:47.796983,929.49,41.17,14.604,0.285,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/2ff84e32-7d55-4219-a0eb-f5d284c51d23
2026-05-28T01:04:54.189201,384.47,39.93,17.969,1.074,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/ca26456a-4a64-4459-9d14-677ba0022bb2
2026-05-28T01:19:49.730267,927.65,41.03,13.673,0.349,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/49e77526-c51a-4495-95d6-57f4d8af59f5
2026-05-28T01:34:53.412944,420.84,41.58,24.172,0.349,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/1d7e3d0b-93ce-420d-88ed-411e27e05a37
2026-05-28T01:40:21.657877,928.58,41.38,14.113,1.739,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/9d63c8b4-53bc-4d29-a486-347c96ce96ad
2026-05-28T01:55:19.011566,928.32,41.6,13.752,0.445,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/9626317d-07bb-4ea9-ad93-a97ed2eca062
2026-05-28T02:10:19.249066,928.37,41.06,15.95,3.757,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/98501bb1-2017-49f8-b9e1-57a497669cc3
2026-05-28T02:25:24.520305,450.37,41.62,23.503,0.547,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/81d68bc4-549e-4fc3-a12d-44c8023de213
2026-05-28T02:40:18.297824,928.42,41.13,14.175,0.425,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/2a9e3ee7-1ed4-4dc9-900e-257e5da3220e
